Company Code,Market,Company Name,Sector,Market Cap,Last Price,PE,DY,ROE
BKAWAN (1899),MAIN,BATU KAWAN BERHAD,Plantation ,7.871b,19.70,21.43,3.05,4.62
BLDPLNT (5069),MAIN,BLD PLANTATION BHD.,Plantation ,1.029b,11.00,29.26,0.27,4.66
BMGREEN (0168),MAIN,BM GREENTECH BERHAD,"Industrial Materials, Components & Equipment ",474.72m,0.92,16.79,1.90,11.42
BNASTRA (7195),MAIN,BINASTRA CORPORATION BERHAD,"Industrial Materials, Components & Equipment ",778.30m,1.72,19.09,0.00,48.97
BONIA (9288),MAIN,BONIA CORPORATION BERHAD,Personal Goods ,372.91m,1.85,9.27,6.49,9.29
BORNOIL (7036),MAIN,BORNEO OIL BERHAD,Industrial Services ,119.92m,0.01,-,0.00,-12.71
BOXPAK (6297),MAIN,BOX-PAK (MALAYSIA) BERHAD,Packaging Materials ,96.64m,0.81,-,0.00,-7.43
BPPLAS (5100),MAIN,BP PLASTICS HOLDING BHD,Packaging Materials ,371.62m,1.32,10.54,4.55,13.32
BPURI (5932),MAIN,BINA PURI HOLDINGS BHD,Construction ,269.94m,0.08,-,0.00,-148.18
BRIGHT (9938),MAIN,BRIGHT PACKAGING INDUSTRY BERHAD,Packaging Materials ,39.01m,0.19,9.84,0.00,3.27
BSLCORP (7221),MAIN,BSL CORPORATION BERHAD,Metals ,57.98m,0.03,-,0.00,-16.10
BTECH (0011),ACE,BRITE-TECH BERHAD,"Gas, Water & Multi-utilities ",83.16m,0.33,11.34,2.42,8.31
BTM (7188),MAIN,BTM RESOURCES BERHAD,Wood & Wood Products ,81.67m,0.07,-,0.00,-27.33
BURSA (1818),MAIN,BURSA MALAYSIA BERHAD,Other Financials ,6.005b,7.42,23.80,3.91,30.57
BVLH (03042),LEAP,BV LAND HOLDINGS BERHAD,Construction ,25.76m,0.19,-,8.42,-
CAB (7174),MAIN,CAB CAKARAN CORPORATION BERHAD,Agricultural Products ,501.85m,0.72,4.84,0.70,15.89
CABNET (0191),ACE,CABNET HOLDINGS BERHAD,Technology Equipment ,54.52m,0.31,-,0.00,-
CAMRES (7128),MAIN,CAM RESOURCES BERHAD,Household Goods ,75.77m,0.39,5.50,2.60,8.54
CANONE (5105),MAIN,CAN-ONE BERHAD,Packaging Materials ,509.21m,2.65,15.25,1.51,1.80
CAPITALA (5099),MAIN,CAPITAL A BERHAD,"Travel, Leisure & Hospitality ",3.000b,0.71,3.58,0.00,-
CAREPLS (0163),MAIN,CAREPLUS GROUP BERHAD,Health Care Equipment & Services ,190.74m,0.28,-,0.00,-
CARIMIN (5257),MAIN,CARIMIN PETROLEUM BERHAD,"Energy Infrastructure, Equipment & Services ",190.61m,0.82,8.06,2.45,11.70
CARLSBG (2836),MAIN,CARLSBERG BREWERY MALAYSIA BERHAD,Food & Beverages ,5.705b,18.66,17.12,4.98,137.96
CARZO (03048),LEAP,CARZO HOLDINGS BERHAD,Food & Beverages ,28.62m,0.30,-,0.00,-
CATCHA (0173),ACE,CATCHA DIGITAL BERHAD,Media ,105.63m,0.30,71.43,0.00,2.80
CBIP (7076),MAIN,CB INDUSTRIAL PRODUCT HOLDING BERHAD,"Industrial Materials, Components & Equipment ",700.41m,1.42,10.77,3.52,7.54
CCIB (03053),LEAP,CC INTERNATIONAL BERHAD,Consumer Services ,167.89m,0.35,-,2.94,-
CCK (7035),MAIN,CCK CONSOLIDATED HOLDINGS BERHAD,Food & Beverages ,637.03m,1.01,7.53,3.47,19.43
CDB (6947),MAIN,CELCOMDIGI BERHAD,Telecommunications Service Providers ,50.094b,4.27,32.28,3.09,9.45
CEB (5311),MAIN,CAPE EMS BERHAD,Diversified Industrials ,897.76m,0.91,20.25,1.22,9.72
CEKD (0238),ACE,CEKD BERHAD,"Industrial Materials, Components & Equipment ",95.34m,0.49,15.76,2.55,8.64
CENGILD (0243),ACE,CENGILD MEDICAL BERHAD,Health Care Providers ,262.37m,0.32,21.88,2.35,10.91
CENSOF (5195),MAIN,CENSOF HOLDINGS BERHAD,Software ,140.83m,0.26,21.25,2.94,6.63
CEPAT (8982),MAIN,CEPATWAWASAN GROUP BERHAD,Plantation ,257.94m,0.81,12.66,4.94,4.89
CEPCO (8435),MAIN,CONCRETE ENGINEERING PRODUCTS BERHAD,Building Materials ,76.86m,1.03,21.19,0.00,5.86
CETECH (03024),LEAP,CE TECHNOLOGY BERHAD,Industrial Services ,398.03m,1.15,-,0.09,-
CFM (8044),MAIN,COMPUTER FORMS (MALAYSIA) BERHAD,Industrial Services ,37.46m,0.14,-,0.00,-
CGB (8052),MAIN,CENTRAL GLOBAL BERHAD,Packaging Materials ,625.73m,0.84,-,0.00,-10.49
CHB (0291),ACE,CRITICAL HOLDINGS BERHAD,Industrial Services ,315.98m,0.85,-,0.00,-
CHEETAH (7209),MAIN,CHEETAH HOLDINGS BERHAD,Personal Goods ,58.35m,0.12,-,0.00,-16.08
CHGP (7187),MAIN,CHIN HIN GROUP PROPERTY BERHAD,Transportation Equipment ,1.058b,1.60,30.59,0.00,8.86
CHHB (5738),MAIN,COUNTRY HEIGHTS HOLDINGS BHD,Property ,72.00m,0.24,-,0.00,-17.69
CHINHIN (5273),MAIN,CHIN HIN GROUP BERHAD,Building Materials ,8.054b,4.55,53.66,0.11,11.94
CHINTEK (1929),MAIN,CHIN TECK PLANTATIONS BERHAD,Plantation ,696.19m,7.62,14.09,2.62,5.60
CHINWEL (5007),MAIN,CHIN WELL HOLDINGS BERHAD,"Industrial Materials, Components & Equipment ",362.44m,1.21,45.83,4.55,1.13
CHOOBEE (5797),MAIN,CHOO BEE METAL INDUSTRIES BHD,Metals ,171.86m,0.87,152.63,2.87,0.18
CHUAN (7016),MAIN,CHUAN HUAT RESOURCES BHD,Building Materials ,70.84m,0.42,-,0.00,-1.26
CIHLDG (2828),MAIN,C.I. HOLDINGS BERHAD,Food & Beverages ,460.08m,2.84,6.13,5.28,17.95
CIMB (1023),MAIN,CIMB GROUP HOLDINGS BERHAD,Banking ,71.136b,6.67,10.19,5.40,10.22
CITAGLB (7245),MAIN,CITAGLOBAL BERHAD,Metals ,476.45m,1.14,50.67,0.00,2.50
CJCEN (7117),MAIN,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Transportation & Logistics Services ,199.07m,0.34,16.92,4.48,2.57
CLASSITA (7154),MAIN,CLASSITA HOLDINGS BERHAD,Personal Goods ,49.31m,0.04,-,0.00,-4.50
CLMT (5180),MAIN,CAPITALAND MALAYSIA TRUST,Real Estate Investment Trusts ,1.780b,0.63,10.88,6.62,5.91
CLOUD (03001),LEAP,CLOUDARON GROUP BERHAD,Digital Services ,20.78m,0.03,-,0.00,-
CLOUDPT (0277),ACE,CLOUDPOINT TECHNOLOGY BERHAD,Digital Services ,342.88m,0.65,21.15,3.10,22.76
CME (7018),MAIN,CME GROUP BERHAD,Industrial Services ,26.20m,0.03,-,0.00,-
CMSB (2852),MAIN,CAHYA MATA SARAWAK BERHAD,Building Materials ,1.096b,1.02,9.51,2.94,3.49
CNASIA (7986),MAIN,CN ASIA CORPORATION BHD,"Industrial Materials, Components & Equipment ",41.59m,0.17,-,0.00,-
CNERGEN (0246),MAIN,CNERGENZ BERHAD,Technology Equipment ,283.86m,0.57,19.93,1.40,8.94
CNH (5104),MAIN,CITRA NUSA HOLDINGS BERHAD,Consumer Services ,39.60m,0.06,-,0.00,-2.00
CNOUHUA (5188),MAIN,CHINA OUHUA WINERY HOLDINGS LIMITED,Food & Beverages ,30.06m,0.05,-,0.00,-4.67
COASTAL (5071),MAIN,COASTAL CONTRACTS BHD,"Energy Infrastructure, Equipment & Services ",823.10m,1.50,-,0.00,-
COMFORT (2127),MAIN,COMFORT GLOVES BERHAD,"Industrial Materials, Components & Equipment ",250.67m,0.43,-,0.00,-4.21
COMPUGT (5037),MAIN,COMPUGATES HOLDINGS BERHAD,Industrial Services ,82.51m,0.02,-,0.00,-7.00
CORAZA (0240),ACE,CORAZA INTEGRATED TECHNOLOGY BERHAD,Industrial Engineering ,259.15m,0.53,-,0.00,-1.93
COSMOS (0261),ACE,COSMOS TECHNOLOGY INTERNATIONAL BERHAD,Industrial Services ,125.69m,0.49,50.00,1.02,4.76
CPETECH (5317),MAIN,CPE TECHNOLOGY BERHAD,"Industrial Materials, Components & Equipment ",731.73m,1.09,-,0.00,-
CRESBLD (8591),MAIN,CREST BUILDER HOLDINGS BERHAD,Construction ,84.92m,0.48,-,0.00,-12.44
CRESNDO (6718),MAIN,CRESCENDO CORPORATION BERHAD,Property ,855.41m,3.05,14.99,1.64,5.80
CRG (03016),LEAP,CARLO RINO GROUP BERHAD,Personal Goods ,169.19m,0.21,-,4.76,-
